"Exact.Site","Month_Year","Order","BIN","Abundnace","PM2.5","n_smoke","precipitation_accumulation_mm","max_relative_humidity_mean","min_relative_humidity_mean","max_air_temperature_mean_K","wind_speed_ms_mean"
"ABUCR","Apr-23","Diptera","BOLD:AAG3311",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG4766",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG6474",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG6909",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAG6969",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAH3668",12,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAH3672",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAH3675",7,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAH3699",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAH3962",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAH4144",29,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAH7156",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAH7160",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAH7167",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAI0585",7,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAJ2102",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAM6064",14,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAM6322",23,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAM7880",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAM9356",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAN6462",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAN6481",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAN8680",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAO7734",6,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAO7886",7,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAO7889",6,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAO8075",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAO8566",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAO8571",32,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAP2467",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAP2882",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAP3585",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAP3797",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAP3801",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAP4758",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAP5003",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAP5046",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAP5159",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAP5216",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAP6132",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAP6417",21,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAZ2152",5,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AAZ6000",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ABV3160",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ABV8939",5,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ABW5559",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ABX1187",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ABX9432",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ABX9644",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACA5005",4,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACA5281",4,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACA5325",6,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACA9973",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACH1182",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACI4414",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACI6376",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACJ9423",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACL2511",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACM2289",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACN1454",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACN7759",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACN8545",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACN8726",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACN9164",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACN9930",8,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACO0080",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACO0416",4,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACP7050",9,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACP7211",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACP7462",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACP8639",12,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACP8739",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACP9261",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACQ5411",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ACQ9715",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ADB6627",7,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ADD4044",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:ADO9043",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AEC0164",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AET1809",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AEV2769",19,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFE8388",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFJ1015",9,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFJ1901",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFJ2611",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFJ4055",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFJ5826",7,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFJ7126",4,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFJ7749",12,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFJ9355",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFK0321",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFK0456",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFK0914",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFK4564",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFK6273",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFK8320",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFK9392",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFK9407",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFL1543",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFL1769",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFL2862",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFM3599",30,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFM8657",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFM8825",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFN5796",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFN9952",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFO4895",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFO8534",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFP6009",6,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFP6511",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFP6919",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFP7368",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFP7558",26,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFP9433",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFP9946",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ0183",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ0992",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ1645",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ2071",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ3102",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ3326",9,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ3331",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ5553",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ5561",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ5959",4,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ5960",4,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ6090",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ6635",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ7547",15,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ7631",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ7868",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ7987",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ8075",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ8680",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ8824",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFQ9524",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFR0101",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFR0862",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFR0863",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFR1064",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFR1742",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFR2208",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFR2938",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFR7777",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFR8993",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFS9722",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Diptera","BOLD:AFT5442",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAA6213",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAA7683",51,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAA9899",5,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAB6817",7,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAB8143",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAD0145",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAD9153",17,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAF1937",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAF7555",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAG2868",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAG2906",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAG8902",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAL2730",4,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAN5445",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAN8267",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAN8305",16,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAN8326",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAN8327",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAO8317",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAO8331",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAW9040",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAY1297",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AAY9516",30,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:ACD7672",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:ACN5124",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:ACO1641",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:ACT7079",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AEC2130",3,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AEL1163",6,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AER0005",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AFB7162",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AFJ4736",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AFJ9137",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AFK0470",5,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AFL0853",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AFL3607",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AFL5764",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AFM1906",7,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AFM4913",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AFM5523",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AFM7498",5,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AFN1875",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AFQ6419",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hemiptera","BOLD:AHA6313",4,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAA2326",12,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAA7143",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAB4609",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAC6482",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAD4214",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAD6172",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAD7708",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAF5678",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAF5679",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAG1226",13,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAG1421",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAG3145",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAG7945",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAG8065",9,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAG8100",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAG8119",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAG8232",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAI4338",1,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAK2754",4,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAN7696",2,13,0,0,58.05,15.35,283.5625,2.5
"ABUCR","Apr-23","Hymenoptera","BOLD:AAN7721",4,13,0,0,58.05,15.35,283.5625,2.5
