"","Exact.Site","Month_Year","Abundance","Species_Richness","Shannon.Diversity","PM2.5.y","n_smoke","precipitation_accumulation_mm","max_air_temperature_mean_K","wind_speed_ms_mean"
"23","LRVP","Mar-23",758,136,3.30820339947637,6.30000019073486,0,0,279.257142857143,2.57142857142857
"24","PSP","Mar-23",1436,224,3.89909673647858,4.19999980926514,0,0,280.8,2.31428571428571
"25","TDS","Mar-23",911,187,4.36432458308732,6.09999990463257,0,35.7,278.3625,3.9625
"26","WR","Mar-23",1174,112,2.2380068468373,5.5,0,0,274.5,3.17142857142857
"27","ABUCR","Apr-23",1467,409,5.13747341791104,13,0,0,283.5625,2.5
"28","LRVP","Apr-23",1117,299,4.74415109448463,9.60000038146973,0,5.3,282.225,2.05
"29","PSP","Apr-23",2511,519,4.78856988475147,6.80000019073486,0,0,286.8875,2.5125
"30","TDS","Apr-23",1528,433,5.13307948435211,7.09999990463257,0,0,279.6875,2.2625
"31","WR","Apr-23",2082,576,5.54963660618703,7.40000009536743,0,3,277.875,2.45
"32","ABUCR","May-23",2529,511,5.04024384678483,12.1999998092651,0,0,284.33,4.55
"33","LRVP","May-23",1581,410,5.11343319076892,7,0,5.2,284.23,3.36
"34","PSP","May-23",7334,764,4.4498548082117,8.19999980926514,0,0,287.944444444444,3.35555555555556
"35","TDS","May-23",633,244,5.0493319350203,8.30000019073486,0,5.5,277.4,4.33333333333333
"36","WR","May-23",1253,310,4.7504611968854,9,0,20.6,278.35,4.57
"37","ABUCR","Jun-23",1405,293,4.12188761175815,14.8999996185303,0,0,291.025,4.575
"38","LRVP","Jun-23",1006,241,4.41927284165727,10.5,0,1,288.2875,2.4
"39","PSP","Jun-23",3967,498,4.5479059911921,8.69999980926514,0,0,292.1,3.25
"40","TDS","Jun-23",1305,387,5.0745687714204,8.39999961853027,0,2.2,281.7125,4.175
"41","WR","Jun-23",2609,541,4.89612180286733,8.80000019073486,0,5.1,285.0875,4.45
"42","ABUCR","Jul-23",1328,317,4.45852431037168,15,7,0,298.725,3.35
"43","LRVP","Jul-23",704,159,3.65586388775005,9.80000019073486,2,0,288.6625,2.125
"44","PSP","Jul-23",2604,424,4.82687130850318,10.8999996185303,4,0,299.9375,4.0875
"45","TDS","Jul-23",1440,383,4.53823768545338,10.1000003814697,5,0,288.9125,3.7125
"46","WR","Jul-23",1480,443,5.11365251244186,11.5,2,0,286.3,3.5875
"47","ABUCR","Aug-23",983,291,4.75934654902795,11,3,0,295.425,3.5875
"48","LRVP","Aug-23",287,94,3.97714544448234,10.5,3,0,290.1125,2.8125
"49","PSP","Aug-23",1438,236,4.26607208031497,7.30000019073486,3,0,300.5375,3.8875
"50","TDS","Aug-23",769,217,3.95013207806042,5.80000019073486,2,0.4,290.3625,3.8
"51","WR","Aug-23",1595,380,4.62247065587888,8.80000019073486,3,0.7,288.525,3.6875
"52","ABUCR","Sep-23",1816,446,5.1272058764359,12.3999996185303,3,0,295.4375,3.7
"53","LRVP","Sep-23",49,41,3.63719480321105,11.6999998092651,4,0,291.2,2.1625
"54","PSP","Sep-23",2112,334,4.64823089267653,7.59999990463257,3,0,298.3375,2.8875
"55","TDS","Sep-23",2016,389,4.18793831679458,9,3,0,291.7625,3.8
"56","WR","Sep-23",1811,422,4.43612251095168,9.89999961853027,4,0,288.475,3.75
"57","ABUCR","Oct-23",1861,437,4.78283184470454,10.8000001907349,0,0,287.2375,1.875
"58","LRVP","Oct-23",597,207,4.5561359474706,8.30000019073486,0,2.7,287.5125,2.0375
"59","PSP","Oct-23",562,189,4.55658793552487,8.89999961853027,0,0,292.8625,2.6375
"60","TDS","Oct-23",1121,309,4.73491719114988,4.30000019073486,0,0.4,288.9375,2.8875
"61","WR","Oct-23",2090,540,4.87990679116316,5.5,0,3.1,284.9625,2.875
"62","ABUCR","Nov-23",242,85,3.38914008337824,10.8000001907349,0,0,283.64,2.02
"63","PSP","Nov-23",803,216,4.32877685059965,9.69999980926514,0,0,284.516666666667,2.56666666666667
"64","PSP","Dec-23",1398,246,4.35032856028318,7.59999990463257,1,0,281.822222222222,2.17777777777778
"65","PSP","Feb-24",2045,182,3.65558092357135,NA,NA,NA,NA,NA
